EIGEN VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.06E+036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854888299881750000000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4533822018505290000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1461642565988790000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4003971377814320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705645637380690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.78622102741831E-006,-0.0012997853,0.0005389475,0.187498634,0.3093756631,-0.6453010516,-0.0004236283,0.0001030141,0.0001495197,0.0002482131,0.0254963245,0.0002774437,0.6720199844,-0.0166776842,0.0050426733,-0.0075899765,-0.0096477862,-1.26831653993237E-017,-3.67919905887105E-018,1.72992932704643E-017,-2.25047963650143E-020,-2.74179946965331E-020,5.27407277731446E-020,-4.15347348974016E-020,4.77491154336671E-018,1.41944582109512E-020,-5.41926619083987E-025,2.80362994568995E-025,6.65460265556054E-107,1.26370903926182E-028,3.28941485069573E-107
7.50092551115402E-006,0.0018060127,0.0048835521,-0.1768850355,0.0687663964,-0.3325001572,-3.68445586485254E-005,-7.94330839379727E-005,-3.71163898668525E-005,0.0001601953,0.8501429703,0.0547239067,-0.3370606363,-0.0781974653,0.000349343,-0.0870670676,-0.0188700449,3.5687042579745E-017,1.29205803666204E-017,-4.61853215399673E-017,9.09455432560198E-020,1.12255532115091E-019,-2.13608884402835E-019,1.37325616510733E-019,-7.72659427093288E-018,-2.76396343725515E-020,2.34102897007412E-024,-1.00791152566003E-024,-1.81781218073582E-092,-4.09621720490995E-028,-1.97780120124317E-093
-9.17381226317819E-005,0.0396977146,-0.0745209804,-0.0043430327,-0.0248421761,0.0063922069,4.32569221781424E-006,-2.40765247245156E-006,3.77727677630701E-006,-2.44538566936541E-006,-0.0523329643,0.9944977562,0.0204443294,-0.0022568123,-0.0016072516,-0.001772327,0.0007321623,-5.22158538180444E-016,-2.03182164309292E-016,5.83612686571218E-016,-1.48784334548415E-018,-1.80120813903504E-018,3.68301478047874E-018,-2.16254357479029E-018,7.52788731050355E-017,2.02842613253208E-019,-3.98806280987463E-023,1.72347795173875E-023,-6.20541042832075E-078,4.36981165710654E-065,3.36629837636555E-078
0.0028562825,0.9753286469,-0.2137928889,-0.0002810407,-0.0003875551,-0.0007727412,-3.03676223106741E-007,8.35537915820218E-008,9.87165217242846E-008,1.18728502833767E-007,0.0029695386,-0.0548321697,0.0014880708,0.000211845,4.86654394899466E-008,4.14902760440625E-005,-2.33207779930794E-005,2.88074242744809E-014,1.05534589433806E-014,-3.5648658276092E-014,7.38781180475672E-017,9.41994520918648E-017,-1.79421569535517E-016,1.11447212694629E-016,-7.0004473165349E-015,-1.8590328595063E-017,1.95287434220136E-021,-8.3334244883058E-022,2.22446761621747E-100,1.05153522338094E-058,6.9996641731426E-101
-4.56271750964572E-014,2.76665099844928E-017,3.79948841635522E-017,2.42182696127973E-020,-4.08958339727755E-020,-3.21495580314194E-021,-1.05961437016657E-023,6.6437690620391E-024,-3.30311919983845E-024,-4.99440539725774E-024,-2.11306721013785E-020,-2.93166851218974E-019,-2.65449165219918E-020,2.08932878653537E-021,-1.6919738691363E-021,-7.54301791718266E-021,6.35944359289843E-023,-5.02883903790093E-025,-1.88260766983821E-025,6.0513537719298E-025,-2.81653658174591E-051,-1.6754589866279E-050,3.297609953384E-027,1,1.19932436874715E-025,-3.70293295462968E-051,2.31206346556841E-064,-1.29831005307113E-064,-1.12798746334777E-092,5.93346804029176E-073,-1.22722658960511E-093
1.15864802676256E-044,5.46964668001252E-042,5.2059819175811E-042,2.42831003274202E-039,1.84595660956057E-039,2.27071330214732E-039,-1.46828169557364E-038,2.99720128411679E-038,-7.07011894330152E-039,-7.85166021312853E-040,6.5043062257887E-040,7.7293142370344E-041,5.26556797799532E-040,5.0763012420361E-039,1.60501369015412E-038,-1.30919488630149E-038,3.65476844879297E-039,3.8892874450434E-056,1.5324651949489E-056,-4.21194452365286E-056,1.16648262904597E-058,1.37247297219379E-058,-2.79808055041271E-058,1.71078728884855E-058,-3.22657078629288E-057,-1.20185766486236E-059,3.26932453495337E-063,-1.23043900014152E-063,3.03904563718532E-075,-4.44409834046655E-067,1
-2.13372695672996E-044,-1.00605786768583E-041,-9.58618035624517E-042,-4.46103329563191E-039,-3.39304871213677E-039,-4.17958651798847E-039,2.65891088357498E-038,-5.50805059519299E-038,1.48239798477067E-038,6.54893608214072E-040,-1.19594576671319E-039,-1.43617898148349E-040,-9.67345285830965E-040,-9.66418248439302E-039,-2.97440561579967E-038,2.41871711272115E-038,-5.86918746375555E-039,-7.16302840456868E-056,-2.82566075538232E-056,7.74285864939233E-056,-2.15298090456445E-058,-2.53215108365863E-058,5.16168732035417E-058,-3.14822980230846E-058,5.79830244860207E-057,2.18478286129144E-059,-6.03072684960913E-063,2.26735834997423E-063,1,8.18327975921152E-067,-1.90745659852482E-160
3.8676252322923E-033,1.50481353213535E-030,1.88739147838742E-030,2.20945328807172E-030,1.71858343023355E-028,-2.26152041027544E-029,2.3993095253608E-032,-5.19438296301268E-032,-5.82329909129866E-032,1.76051328071922E-032,3.35306285565141E-028,2.83690399730532E-029,-3.02875578833379E-028,-1.79316790086363E-029,9.50337478581447E-030,-5.36313544020564E-030,-4.89097295554675E-030,2.1477408331177E-044,7.1959914210144E-045,-2.84605745796178E-044,4.84361175620828E-047,5.92804307238438E-047,-1.13504649319707E-046,7.74024330030149E-047,-5.90482060871848E-045,-1.96284757162528E-047,1.22116897350934E-051,-5.51458929650771E-052,-3.15859493315206E-107,1,6.15291403505419E-108
2.65477554041046E-024,8.5238288313834E-022,3.83912242581199E-024,-6.27134393949801E-026,-6.02323995876042E-026,-6.83202917329118E-025,-2.87231364404962E-028,5.20102169010146E-029,-2.74005161418447E-029,1.00821697689572E-028,2.59489631183367E-024,-5.09385447560715E-023,5.44936364613593E-025,1.86935543014323E-025,1.4563003250552E-026,5.83915427298651E-026,-2.69866993984651E-026,2.52327016127018E-035,9.22924203004472E-036,-3.12038315370649E-035,6.46242315679912E-038,8.20892289423558E-038,-1.568360463284E-037,9.73867146050269E-038,-6.06348077876692E-036,-1.63373413977174E-038,1.70558437902803E-042,1,-1.06375916460899E-102,1.1632386767481E-082,-5.00274897877102E-103
-6.19595694023068E-024,-1.99378549965956E-021,7.7660124776976E-024,2.3848127092387E-025,2.18698404054484E-025,1.64752189999109E-024,6.77004695842054E-028,-1.3346957378704E-028,3.99152418317897E-029,-2.44528011828957E-028,-6.23666513521587E-024,1.19965871310284E-022,-1.46497867574064E-024,-4.45854832797162E-025,-3.08653759526472E-026,-7.40319017878372E-026,6.31024722696668E-026,-5.90179827048437E-035,-2.1588021659381E-035,7.29859425372586E-035,-1.51160502031245E-037,-1.92039643603822E-037,3.66860149921692E-037,-2.27802986387322E-037,1.41881241920874E-035,3.82073003778533E-038,1,8.79392242207623E-061,2.36437371486913E-102,-2.56829823688074E-082,1.13194131399079E-102
