EIGEN VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1.272874357446197e+36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55342256427472100000000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162499969897737000000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153497976205848000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342153792948593000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337995248608149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.0377531483985E-006,-0.0005961663,-0.0003850868,0.3581280119,0.5738649829,-0.6768963787,0.0003061262,-0.0016091076,0.0007118835,0.000220599,0.0402782387,-0.0482109215,-0.2516281441,-0.0651312392,0.0174607665,-0.111444135,0.0008687089,4.08429014634345E-018,-6.88562529100806E-019,6.25398479194723E-018,1.74871617047305E-020,-2.79598496788485E-021,3.21031510709488E-021,1.00772459642222E-020,7.91915921884729E-018,1.73025181967895E-021,1.17501065407031E-025,5.9234926953031E-026,-1.24006282234596E-077,1.09920866254634E-028,2.30380053569256E-079
-1.53669875756784E-006,-0.0012780654,-0.0004955341,-0.0078127451,0.0921485461,-0.2379543356,0.0001653221,-0.0001038686,-0.0001153073,2.25672523430258E-005,-0.4672739927,-0.1161727743,0.833496948,-0.0427599543,0.0060073347,-0.0799483599,-0.0029845584,7.85391364710076E-018,-1.54867695356536E-018,1.26440434567019E-017,3.85231187931988E-020,-7.92666045211832E-021,1.15129583768402E-020,-4.32662340274774E-020,1.80109547601973E-017,1.54727612493737E-020,7.01948810995105E-025,7.80308448354283E-025,-3.30948440722358E-082,1.92081311572917E-027,-4.94972395923711E-083
0.0020083606,0.926252442,0.3760632151,-0.00622188,0.0019462638,-0.0025398842,1.62105519197319E-006,4.77327505052449E-007,-1.11987594887225E-006,-1.26232468319974E-007,0.0136647991,-0.0190110306,0.0056254569,-0.0001844813,0.0001231269,-0.0002115972,-4.33132305083071E-005,-3.8822185193984E-015,4.57684222137004E-016,-3.51358201408156E-015,-8.90844877025337E-018,1.01287072007315E-017,-2.28119439649714E-018,-3.5623296543194E-017,-7.87830240484393E-015,5.09273416500486E-020,1.28198010230377E-022,-6.90099833884116E-023,9.81332577345864E-092,-3.83778260358491E-060,7.93920015790684E-097
0.9999958064,-0.002646058,0.0011770228,-5.13046995832451E-006,2.67730322600727E-006,-5.39244477187852E-007,1.89271559640711E-009,1.46007230244662E-009,0.000000001,-3.57346047642628E-010,1.40655605344917E-006,6.59806929163645E-006,-3.26756268396786E-007,-2.01651968076054E-007,9.56961895164107E-008,-1.24442043610279E-007,9.7457987811681E-009,-3.07313520896903E-012,6.04266292446083E-013,-2.40606837370019E-012,-1.9643848096536E-015,5.42248688964649E-015,5.33535643300089E-016,-1.90125411569867E-014,-3.73217411528161E-012,5.57571386608358E-016,4.97579058593631E-049,3.44539154546343E-049,-9.86351113146159E-079,-1.91228561565956E-060,-2.70876687826008E-079
3.07314575879285E-012,-1.71344196996992E-015,-1.86622501736632E-015,5.05196620071641E-018,-3.18479006685947E-018,-3.68531917503663E-019,-3.05462994138444E-021,-3.22397265642286E-022,-1.4453038638011E-021,5.64546286257842E-022,5.636135036908E-018,4.85850554070904E-017,2.7743075664449E-018,4.12185361288301E-019,-1.38591834312194E-019,2.12156965903055E-019,-2.97648786324949E-020,1,4.14011107067658E-054,-6.42154474591868E-029,-5.8629024691054E-056,1.31318209658324E-056,-9.0557184475843E-057,-6.00371734235386E-056,-1.14696038321607E-023,7.72569765423182E-058,2.91967886041194E-066,2.6234196262983E-065,-5.25110097684188E-083,-7.76958547355733E-073,-8.30617589954716E-084
-6.04267705277784E-013,6.28732577542589E-016,4.60944793326409E-016,-4.06295618538158E-019,3.4112726675126E-019,1.46404326988469E-019,3.90374728724535E-022,-2.69656085550811E-022,2.57247550105888E-022,-4.25197878008727E-023,-1.82583473061931E-018,-1.15493452724056E-017,-6.61539458240449E-019,-7.64547847084833E-020,2.23038008040035E-020,-6.78400798724807E-020,5.61702023475016E-021,1.85700467374989E-024,1,1.45392005521019E-024,-3.84561570175464E-054,-3.82057064284513E-055,4.16587801578027E-055,2.19609314139702E-053,2.25524950876105E-024,2.08389952644802E-055,-5.74075528714134E-067,-5.15838467991974E-066,7.53259431867893E-084,1.50261822905768E-073,1.19148366629437E-084
-5.42252143792541E-015,-1.69893795453162E-018,6.2130673390268E-018,-1.49923945635047E-022,2.26746799426742E-021,2.69872778767765E-021,6.06165311851676E-024,-1.99323393357346E-024,3.47956566946113E-024,-4.37428161067192E-025,-2.58587364995909E-020,4.16393659644503E-020,-7.75877459299889E-021,-1.32346135355979E-021,1.31855378671655E-022,-1.21854867181417E-021,9.17944838775039E-023,1.66642074410279E-026,-3.27665638139103E-027,1.3047061492413E-026,5.93464008500451E-038,1,1.00235306640312E-040,1.03096112628958E-028,2.02379754782478E-026,-3.08417686934446E-039,1.25606435144266E-066,1.51850878262299E-066,-1.90091812557468E-089,1.05819900289578E-074,-2.88302997586473E-090
-5.575553525805E-016,3.9176315425384E-018,-6.8024169535538E-018,-4.38673825999098E-021,5.00563130903576E-021,-1.55427715898753E-021,1.47807492932926E-025,7.08154019268728E-024,-4.53062601545909E-024,-6.4452342303506E-025,1.00623566304957E-020,1.00827383621138E-019,1.18457534975508E-021,1.10232873950933E-021,-4.0295260648605E-022,1.02067000617391E-021,-1.05293241233563E-022,1.71344287994672E-027,-3.36912019892518E-028,1.34149839830605E-027,1.09528518038722E-030,-3.02330693336016E-030,1.10494919120158E-037,1.06006652972315E-029,2.08086781450928E-027,1,-2.75073338441356E-064,-1.89478936352283E-064,2.70728268627451E-090,1.01530769997385E-075,4.1076154942705E-091
-5.33523345904535E-016,4.51411583430411E-018,-2.20086106449375E-018,2.39959865837015E-021,-1.60369197504255E-021,-1.15994849172983E-021,-1.7844401407164E-024,-2.46474118863071E-024,-1.45472906731592E-024,5.50579170915027E-025,7.68967068543859E-021,4.98284470842432E-020,1.98452222880714E-021,5.08146315620165E-022,2.98650822048197E-023,1.79824351625398E-022,-4.865895226261E-023,1.63959863256937E-027,-3.22392751045512E-028,1.28369272871506E-027,1.04804894951731E-030,-2.89302043945311E-030,1,1.01437134836957E-029,1.99119576795322E-027,-2.97501568635631E-031,-2.63215498470988E-064,-1.81310893212524E-064,1.09918068588997E-089,9.8269610205016E-076,1.66751867149418E-090
-9.69970681950897E-032,-1.70730651543549E-029,-2.63634665521643E-029,-4.58466145360362E-027,2.24463006621555E-027,-1.16381317839995E-027,1.01839328806247E-030,1.36896958340056E-030,-3.10176327556343E-031,-3.20607917608605E-031,7.42798620682101E-027,6.50511394361543E-027,2.13668604648996E-027,-5.62522993815402E-029,6.66769264676555E-029,-2.9908638144589E-029,-2.10850807571329E-029,-1.14292541226844E-043,5.19141398481842E-044,-5.16196965676849E-043,-1.24967690687652E-045,-4.56143097801793E-046,-4.04919498647464E-046,4.8807365417448E-045,-4.87136304206025E-043,-9.32737495922266E-046,-4.3276018724027E-050,-2.99523655839546E-050,1.5043339911759E-102,1,4.71761349974329E-103
-7.01649889323753E-045,-3.33046211084773E-042,-3.86611300660566E-042,-1.62302126929903E-039,-1.41245867490571E-039,-1.99430165277371E-039,6.67539953307255E-039,-3.04513966720542E-038,2.78704512161721E-038,-5.13886871047774E-039,-4.88965357173633E-040,-1.65886366245853E-040,-4.31914397386108E-040,1.95105803705548E-038,1.43118680916609E-038,-7.73677813230955E-039,3.88735415303475E-038,2.04147362061455E-056,-2.93276450631196E-057,1.47176398067963E-056,8.43944580003485E-059,-9.69324174303644E-060,7.90238095306479E-060,7.30921570243502E-059,3.51323760129365E-056,-1.56766391919551E-060,2.13163892967739E-064,1.05231363702898E-064,-1.45459230976668E-074,-1.84321122366618E-067,1
-2.55885316002975E-044,-1.21544430655722E-041,-1.40952865650698E-041,-5.93152077116449E-039,-5.14669363537349E-039,-7.26891011509517E-039,1.50505580464073E-038,-9.95317680137325E-038,1.17152743736994E-037,-2.65321727474763E-038,-1.78820113054224E-039,-6.06789792086851E-040,-1.57755912949084E-039,7.310879612586E-038,5.38068471243499E-038,-2.92425347040013E-038,1.42960068671809E-037,7.43185450210942E-056,-1.06913411579237E-056,5.3619122290659E-056,3.08525147550226E-058,-3.44490721373027E-059,2.82819522392037E-059,2.66308924375806E-058,1.27937667311734E-055,-5.83692890254846E-060,7.87299614855279E-064,3.73986084907146E-064,1,-6.87762156077977E-067,2.02380400607809E-117
